                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0308,                 1.0102,                 1.4189,                0.74532,                0.79002,                 0.8143,                0.43486,                 1.6827,                 1.1826,                 2.0119,               0.007822,               0.007822,               0.007822
                     68,                 1.0139,                0.96536,                 1.3905,                0.83142,                0.81439,                0.87745,                0.46924,                 1.5448,                 1.0436,                 1.8938,               0.007789,               0.007789,               0.007789
                     69,                 1.0085,                0.96341,                 1.4028,                0.87285,                0.73547,                0.84241,                0.48269,                 1.5178,                 1.0365,                  1.846,               0.007756,               0.007756,               0.007756
                     70,                 1.0132,                0.96958,                 1.4041,                0.73452,                0.72875,                0.80699,                0.42054,                 1.6637,                 1.3138,                 1.9968,               0.007723,               0.007723,               0.007723
                     71,                 1.0265,                0.98524,                 1.4134,                0.81723,                 0.7878,                 0.8556,                0.49585,                 1.4979,                 1.1308,                 1.8655,                0.00769,                0.00769,                0.00769
                     72,                0.98159,                0.93813,                 1.3801,                0.92262,                0.78587,                0.89113,                0.54821,                 1.4154,                 1.0016,                 1.7598,               0.007657,               0.007657,               0.007657
                     73,                0.97755,                0.92793,                 1.3762,                0.89837,                0.84088,                0.90383,                0.52709,                 1.5063,                 1.0762,                 1.8652,               0.007624,               0.007624,               0.007624
                     74,                 1.0297,                0.95889,                 1.4111,                0.81458,                0.76216,                0.82674,                0.47548,                 1.4951,                 1.1605,                 1.8398,               0.007591,               0.007591,               0.007591
                     75,                 1.0067,                0.94338,                 1.3934,                0.80363,                0.77756,                0.83156,                 0.4736,                  1.481,                 1.0913,                 1.8162,               0.007558,               0.007558,               0.007558
                     76,                0.97694,                0.93263,                 1.3678,                0.81515,                0.72872,                0.82904,                0.44683,                 1.6408,                 1.0786,                 2.0161,               0.007525,               0.007525,               0.007525
                     77,                0.99406,                0.92802,                 1.3787,                0.84481,                0.80277,                0.87928,                0.50084,                 1.5431,                 1.0669,                 1.8812,               0.007492,               0.007492,               0.007492
                     78,                0.99246,                0.94496,                 1.3848,                0.85282,                0.81493,                0.88167,                0.56018,                 1.3599,                 1.0041,                 1.7028,               0.007459,               0.007459,               0.007459
                     79,                0.95857,                0.90968,                 1.3562,                0.86579,                0.78258,                0.86403,                0.51975,                 1.4439,                 1.0907,                 1.7859,               0.007426,               0.007426,               0.007426
                     80,                0.95586,                0.89136,                 1.3617,                0.79187,                0.80075,                0.84509,                0.48638,                 1.5035,                 1.1425,                 1.8303,               0.007393,               0.007393,               0.007393
                     81,                 0.9742,                0.89667,                 1.3603,                0.84228,                 0.8095,                0.88398,                0.51548,                 1.3892,                0.95297,                 1.7452,                0.00736,                0.00736,                0.00736
                     82,                0.96212,                0.89782,                 1.3611,                0.84812,                0.78911,                0.85758,                0.48313,                 1.5102,                 1.0795,                  1.838,               0.007327,               0.007327,               0.007327
                     83,                0.95856,                0.88568,                 1.3568,                0.83701,                0.86078,                0.88447,                0.51836,                 1.4272,                0.99501,                 1.7942,               0.007294,               0.007294,               0.007294
                     84,                0.95898,                0.89863,                 1.3622,                0.88499,                0.74296,                0.87276,                0.49956,                 1.4825,                0.95937,                 1.8006,               0.007261,               0.007261,               0.007261
                     85,                0.96261,                0.88626,                 1.3706,                0.81726,                0.74724,                0.83552,                0.45519,                 1.5988,                 1.2014,                 1.9988,               0.007228,               0.007228,               0.007228
                     86,                0.95024,                0.88028,                 1.3525,                0.87894,                 0.7849,                0.88129,                0.49409,                 1.6373,                 1.0245,                  2.024,               0.007195,               0.007195,               0.007195
                     87,                0.96327,                0.88076,                 1.3629,                0.86304,                0.73524,                0.85478,                0.48247,                 1.5074,                 1.0901,                 1.8316,               0.007162,               0.007162,               0.007162
                     88,                0.93041,                0.85547,                  1.343,                0.88565,                0.79346,                0.87917,                0.54098,                 1.4094,                 1.0272,                 1.7603,               0.007129,               0.007129,               0.007129
                     89,                0.91975,                0.86047,                 1.3337,                0.83312,                0.80344,                0.86295,                0.51215,                 1.4461,                 1.0088,                 1.7754,               0.007096,               0.007096,               0.007096
                     90,                0.91065,                 0.8336,                 1.3232,                0.79855,                0.72881,                0.80038,                0.44226,                 1.7288,                 1.2419,                 2.1399,               0.007063,               0.007063,               0.007063
                     91,                0.94275,                0.87789,                  1.352,                0.80414,                0.81252,                0.86191,                0.49937,                  1.516,                 1.1194,                 1.8803,                0.00703,                0.00703,                0.00703
                     92,                0.93009,                0.84959,                 1.3428,                0.88704,                0.80368,                0.88349,                 0.4917,                 1.5415,                 1.1075,                  1.884,               0.006997,               0.006997,               0.006997
                     93,                0.94216,                0.85508,                 1.3484,                0.83927,                0.80527,                0.86306,                0.50761,                 1.4817,                0.98951,                 1.8462,               0.006964,               0.006964,               0.006964
                     94,                0.91871,                0.82883,                 1.3161,                0.80938,                0.78531,                0.86016,                 0.5113,                 1.4296,                  0.947,                 1.7996,               0.006931,               0.006931,               0.006931
                     95,                0.91158,                 0.8155,                 1.3184,                0.87992,                0.83905,                0.90043,                0.54022,                 1.5365,                 1.0364,                 1.8848,               0.006898,               0.006898,               0.006898
                     96,                0.92074,                0.83468,                 1.3304,                0.81567,                0.86287,                0.88397,                0.48788,                 1.4463,                0.92649,                 1.7759,               0.006865,               0.006865,               0.006865
                     97,                 0.9089,                0.83938,                 1.3191,                0.82282,                0.85424,                0.88212,                0.51283,                 1.3741,                0.88382,                  1.715,               0.006832,               0.006832,               0.006832
                     98,                0.89997,                0.80908,                 1.3143,                0.85376,                0.83545,                0.88626,                0.51872,                 1.4606,                0.94096,                 1.8165,               0.006799,               0.006799,               0.006799
                     99,                 0.9103,                0.83494,                 1.3225,                0.87569,                0.83567,                 0.8923,                0.53429,                 1.4737,                0.94783,                 1.8132,               0.006766,               0.006766,               0.006766
                    100,                0.90037,                0.81096,                 1.3082,                0.84378,                0.86805,                0.90099,                0.53701,                 1.5018,                0.92885,                 1.8349,               0.006733,               0.006733,               0.006733
                    101,                0.87814,                0.79787,                 1.2912,                0.86754,                 0.8178,                0.90581,                0.51022,                 1.4835,                0.99507,                 1.8496,                 0.0067,                 0.0067,                 0.0067
                    102,                0.88688,                0.79723,                 1.3116,                0.91381,                 0.7962,                0.88952,                0.53652,                 1.3789,                0.89631,                 1.7612,               0.006667,               0.006667,               0.006667
                    103,                0.88742,                0.80971,                 1.3109,                0.83849,                0.78008,                0.88397,                0.54988,                 1.4659,                0.99548,                 1.8267,               0.006634,               0.006634,               0.006634
                    104,                0.89178,                0.81666,                 1.3069,                0.85981,                0.81345,                0.89156,                0.54497,                 1.4553,                 1.0549,                 1.7647,               0.006601,               0.006601,               0.006601
                    105,                0.89074,                0.79328,                 1.3037,                0.82825,                0.84781,                0.87895,                0.51755,                 1.5212,                  0.898,                 1.8616,               0.006568,               0.006568,               0.006568
                    106,                0.87789,                0.78567,                 1.2946,                0.89933,                0.79418,                0.87882,                0.53149,                 1.5466,                 1.0642,                 1.8886,               0.006535,               0.006535,               0.006535
                    107,                0.89248,                0.79935,                  1.305,                0.86642,                0.79507,                0.88326,                0.51963,                 1.4679,                0.98165,                 1.7947,               0.006502,               0.006502,               0.006502
                    108,                0.90591,                0.81163,                 1.3196,                0.85765,                0.82459,                0.87275,                0.49025,                 1.4938,                0.95221,                 1.8346,               0.006469,               0.006469,               0.006469
